"Term_ID
[ENGLISH]



Data Type
Integer","Term
[OPERATING LANGUAGE]



Data Type
Character String","Term_Abbreviation
[OPERATING LANGUAGE]


Data Type
Character String

Note - Only if an accepted abbreviation exists","Country code
[ENGLISH]



Data Type
Character String

Note - Only when identifying a national term equivalent","Definition
[OPERATING LANGUAGE]



Data Type
Character String","Term
[OPERATING LANGUAGE - ALTERNATIVE CHARACTER SET]

Data Type
Character String

Note - This field contains the term 
in the operating language but using 
an alternative character set 
(For example, terms written in Korean 
but with Chinese characters). 
Its use is optional. ","Term in English
[ENGLISH]



Data Type
Character String","Entry Status
[OPERATING LANGUAGE]



Data Type
Must be one of 
'notValid'
'valid'
'superseded'
'retired'.","Term Clasification
[OPERATING LANGUAGE]


Data Type
Character String
Must be one of the following
'preferred'
'admitted'
'deprecated'","Review Indicator
[OPERATING LANGUAGE]



Data Type
Character String
Values = empty field or 'Under Review 
in Source Standard')","Authoritative Source
[ENGLISH]


Data Type
Character String","Similarity to Authoritative Source
[ENGLISH]


Data Type
Integer
Must be one of the 
following codes
'identical' = 1
'restyled' = 2
'context added' = 3
'generalisation' = 4
'specialisation' = 5
'unspecified' = 6","Lineage Source
[OPERATING LANGUAGE]


Data Type
Character String","Similarity to Lineage Source
[OPERATING LANGUAGE]

Data Type
Integer
Must be one of the 
following codes
'identical' = 1
'restyled' = 2
'context added' = 3
'generalisation' = 4
'specialisation' = 5
'unspecified' = 6
","Term Synonyms
[OPERATING LANGUAGE]


Data Type
Character String","Date Accepted
[ENGLISH]


Data Type
Date
yyyy-mm-dd","Date Amended
[ENGLISH]


Data Type
Date
yyyy-mm-dd","Review
Date
[ENGLISH]


Data Type
Date
yyyy-mm-dd","Review Status
[OPERATING LANGUAGE]


Data Type
Character String
Must be one of 
'pending'
'tentative'
'final'","Review Type
[OPERATING LANGUAGE]


Data Type
Character String
Must be one of
'supersession', 
'retirement'","Review
Decision
[OPERATING LANGUAGE]

Data Type
Character String
Must be one of
'withdrawn', 
'accepted'
'notAccepted'","Review Decision
Date
[OPERATING LANGUAGE]

Data Type
Date
yyyy-mm-dd","Review Decision
Event
[OPERATING LANGUAGE]

Data Type
Character String","Review Decision
Notes
[OPERATING LANGUAGE]

Data Type
Character String
","Example_1
[OPERATING LANGUAGE]



Data Type
Character String","Note_1
[OPERATING LANGUAGE]



Data Type
Character String","Example_2
[OPERATING LANGUAGE]



Data Type
Character String","Note_2
[OPERATING LANGUAGE]



Data Type
Character String","Example_3
[OPERATING LANGUAGE]



Data Type
Character String","Note_3
[OPERATING LANGUAGE]



Data Type
Character String","Example_4
[OPERATING LANGUAGE]



Data Type
Character String","Note_4
[OPERATING LANGUAGE]



Data Type
Character String","Example_5
[OPERATING LANGUAGE]



Data Type
Character String","Note_5
[OPERATING LANGUAGE]



Data Type
Character String","Example_6
[OPERATING LANGUAGE]



Data Type
Character String","Note_6
[OPERATING LANGUAGE]



Data Type
Character String","Example_7
[OPERATING LANGUAGE]



Data Type
Character String","Note_7
[OPERATING LANGUAGE]



Data Type
Character String","Example_8
[OPERATING LANGUAGE]



Data Type
Character String","Note_8
[OPERATING LANGUAGE]



Data Type
Character String","Glossary
Release
[ENGLISH]


Data Type
Integer
Must be one of the following codes
'release1' = 1
'release1_retired' = -1
'release2' = 2
'release2_retired' = -2
etc
"
3,추상 시험 케이스,,,특정한 요구 사항을 수행하기 위한 일반화된 시험,,abstract test case,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,비고: 추상 시험 케이스는 실행 가능 시험 케이스에 대한 형식적인 틀을 제공하며 하나 이상의 시험 목적을 갖는다. 추상 시험 케이스는 구현과 값의 양쪽에 모두 독립해 있다. 관측 가능한 모든 시험 결과는 시험 판정을 내릴 수 있도록 명확해야 한다(예: 시험 이벤트의 연속),,,,,,,,,,,,,,,
4,추상 시험 방법,,,특정 시험 절차와 상관 없이 독립적인 시험 구현을 위한 방법,,abstract test method,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,
5,추상 시험 모듈,,,관련된 추상 시험 케이스의 집합,,abstract test module,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,비고: 추상 시험 모듈은 계층적 구조를 가질 수 있다.,,,,,,,,,,,,,,,
6,추상 시험 스위트,,,적합성 시험에 요구되는 모든 사항들을 규정한 추상 시험 모듈,ATS,abstract test suite,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,비고: 추상 시험 스위트는 적합성 조항에서 기술되어 있다.,,,,,,,,,,,,,,,
7,검수 시험<사용자>,,,구현된 결과가 검수 기준을 만족하는지에 대한 결정 과정,,acceptance testing (user),valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,"비고 1: 사용자 요구 사항에 맞게 구현되는지를 시연하는 여러 종류의 시험(기능 시험, 용량 시험, 성능 시험 등)을 기획하고 실행하는 것이 검수 시험에 포함된다.",,비고 2: 검수 시험은 적합성 시험의 일부가 아니다.,,,,,,,,,,,,,
8,정확도,,,시험 결과와 기준 값 간의 일치도를 표시하는 척도,,accuracy,superseded,,,ISO 3534-1:1993,1,KS X ISO 19104,,,2008-12-19,2008-07-15,2007-12-07,Final,Supersession,Accepted,2008-05-22,Result of FDIS Ballot for ISO 6709:2008,Definition originally taken from ISO 3534-1 was later superseded by definition in ISO 3534-2:2006,,비고: 시험 결과는 관측 값 또는 측정 값이 될 수 있다.,,,,,,,,,,,,,,,-1
656,활성 객체,,,"독립적인 동작이 가능한 객체, 따라서 별도의 외부 자극 없이도 스스로 다른 객체와의 상호작용이 가능함",,active object,valid,preferred,,ISO 19132:2007,1,KS X ISO 19132,,,2009-12-29,,,,,,,,,,"비고: 활성 객체는 사용자 또는 내부 트리거를 통해 활성화되는(따라서 눈으로 볼 수 없는) 활성 서비스를 나타낼 수 있다. 활성 및 수동 상태는 동일 객체에 대하여 존재할 수 있으며, 이러한 서비스는 활성화 또는 비활성화 연산 프로토콜의 호출을 통해 상태가 변한다.",,,,,,,,,,,,,,,
9,행위자 <UML>,,,"유즈 케이스와 상호 작용 시, 그 유즈 케이스의 사용자가 수행하는 역할의 집합",,actor <UML>,valid,preferred,,ISO/IEC 19501:2005 (Adapted from),2,KS X ISO 19103,,,2009-12-29,,,,,,,,,,비고: 행위자는 유즈 케이스 별로 별도의 역할을 수행하는 것으로 정의될 수 있다.,,,,,,,,,,,,,,,
598,어파인 좌표계,,,유클리디안 공간에서 직선축들로 구성된 좌표 체계로서 축들이 반드시 직교할 필요는 없음,,affine coordinate system,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
11,집합 연관 <UML>,,,집합체와 컴포넌트 간의 관계를 설명한 연관의 특정 형태,,aggregation <UML>,valid,preferred,,ISO/IEC 19501:2005 (Adapted from),2,KS X ISO 19103,,,2009-12-29,,,,,,,,,,비고: 합성 참고,,,,,,,,,,,,,,,
12,높이,h; H,,선택된 기준면으로부터 그 면의 수직선으로 연결된 어떤 지점까지의 거리,,altitude,superseded,,,ISO 19116:2004,1,KS X ISO 19116,,,2004-11-05,2008-07-15,2007-12-07,Final,Supersession,Accepted,2008-05-22,Result of FDIS Ballot for ISO 6709:2008,Definition in ISO 19116:2002 was superseded by a new definition in ISO 6709,,비고 1: 타원체의 높이와 중력과 관련된 높이 참조,,"비고 2: 양으로 여겨지는 표면 외부 지점의 높이, 음의 높이는 깊이라고 불린다. ",,,,,,,,,,,,,-1
13,주석,,,명시를 목적으로 해설 자료에 넣는 표기,,annotation,valid,preferred,,"ISO 19117:2012, 4.1",1,ISO 19117:2005,1,,2006-05-01,,2009-11-25,final,,accepted,2012/12/15,Publication of ISO 19117:2012,Authoritative reference changed from ISO 19117:2005 to ISO 19117:2012. Lineage source added as ISO 19117:2005.,,"비고: 숫자, 문자, 기호 및 부호 등",,,,,,,,,,,,,,,1
